State,County,Year,median_aqi,sample_weight,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races,Median_Household_Income,Total_Population,Land_Area_SqMi,population_density,Region,Division,log_population_density,log_median_income,total_minority_pct
Florida,Duval,2025,52,1.0,12.4,48.4,28.2,0.1,4.9,5.2,71277.0,1023153,762.617,1341.6341361391103,South,South Atlantic,7.202388736579249,11.174328973716898,40.6
Florida,Escambia,2025,44,1.0,7.0,61.7,20.8,0.2,2.8,7.0,67500.0,325923,656.994,496.08215600142466,South,South Atlantic,6.208755316261261,11.119882876860622,27.8
Florida,Flagler,2025,34,1.0,11.6,72.4,8.8,0.0,2.4,4.0,77363.0,126528,486.191,260.24340228428747,South,South Atlantic,5.565452548545912,11.256263909106389,20.4
Florida,Hamilton,2025,49,1.0,11.5,54.5,30.4,0.5,0.6,2.5,50144.0,13616,514.295,26.475077533322317,South,South Atlantic,3.3132793222446595,10.822654145155747,41.9
Florida,Highlands,2025,34,1.0,22.2,63.1,9.3,0.2,1.5,3.1,54897.0,105702,1017.66,103.86769648016038,South,South Atlantic,4.652699522125527,10.913213981195797,31.5
Florida,Hillsborough,2025,51,1.0,30.4,44.8,15.3,0.1,4.5,4.1,79540.0,1522748,1022.502,1489.237184866142,South,South Atlantic,7.306690570744921,11.284015318761682,45.7
Florida,Holmes,2025,48,1.0,3.7,84.2,5.8,0.4,0.6,4.9,49343.0,19513,478.857,40.74911716859104,South,South Atlantic,3.7316783054108016,10.80655119082919,9.5
Florida,Indian River,2025,36,1.0,13.9,72.5,7.7,0.2,1.5,3.5,73491.0,166936,502.527,332.19309609234926,South,South Atlantic,5.808722190067068,11.204918228723848,21.6
Florida,Lake,2025,35,1.0,18.8,63.6,10.2,0.1,2.0,4.4,73161.0,412924,952.13,433.68447585938895,South,South Atlantic,6.074620425048303,11.200417771082792,29.0
Florida,Lee,2025,42,1.0,24.7,62.0,7.6,0.1,1.7,3.2,76107.0,817666,781.026,1046.912650795236,South,South Atlantic,6.954555512929482,11.239895523850763,32.3
Florida,Leon,2025,50,1.0,8.2,53.2,30.2,0.0,3.5,4.4,66287.0,297542,668.428,445.1369481829008,South,South Atlantic,6.100625963593243,11.101749078516692,38.4
Florida,Liberty,2025,32,1.0,6.4,76.6,11.5,0.5,0.2,4.6,58671.0,7687,835.563,9.199785055106558,South,South Atlantic,2.3223666470394173,10.979700846260759,17.9
Florida,Manatee,2025,38,1.0,18.3,67.6,7.6,0.1,2.2,3.8,78457.0,429792,742.762,578.6402643107753,South,South Atlantic,6.362407677168882,11.270305982988683,25.9
Florida,Marion,2025,46,1.0,17.0,65.5,11.6,0.1,1.7,3.4,61010.0,400078,1588.422,251.87135408600489,South,South Atlantic,5.532880877533274,11.018793064145898,28.6
Florida,Martin,2025,41,1.0,15.9,74.8,4.7,0.1,1.3,2.9,82943.0,162176,543.822,298.2152248345966,South,South Atlantic,5.701163129948085,11.325908903872053,20.6
Florida,Miami-Dade,2025,49,1.0,69.3,12.6,14.1,0.1,1.5,1.9,71753.0,2738356,1899.925,1441.2968932984195,South,South Atlantic,7.273992186595894,11.180984944594467,83.39999999999999
Florida,Okaloosa,2025,37,1.0,11.3,69.3,9.1,0.1,3.2,6.3,81998.0,216599,929.862,232.9367153405559,South,South Atlantic,5.455050631517664,11.31445013570504,20.4
