State,County,Year,median_aqi,sample_weight
Idaho,Twin Falls,2025,24,1.0
Idaho,Valley,2025,32,0.9388888888888889
Illinois,Adams,2025,38,1.0
Illinois,Champaign,2025,44,1.0
Illinois,Clark,2025,36,1.0
Illinois,Cook,2025,53,1.0
Illinois,DuPage,2025,44,1.0
Illinois,Effingham,2025,35,1.0
Illinois,Hamilton,2025,43,1.0
Illinois,Jersey,2025,44,1.0
Illinois,Jo Daviess,2025,35,1.0
Illinois,Kane,2025,46,1.0
Illinois,Lake,2025,40,1.0
Illinois,Macon,2025,44,1.0
Illinois,Macoupin,2025,37,1.0
Illinois,Madison,2025,48,1.0
Illinois,McHenry,2025,43,1.0
Illinois,McLean,2025,44,1.0
Illinois,Peoria,2025,47,1.0
Illinois,Randolph,2025,44,1.0
Illinois,Rock Island,2025,41,1.0
Illinois,Saint Clair,2025,44,1.0
Illinois,Sangamon,2025,42,1.0
Illinois,Will,2025,45,1.0
Illinois,Winnebago,2025,41,1.0
Indiana,Allen,2025,45,1.0
Indiana,Bartholomew,2025,44,1.0
Indiana,Boone,2025,38,1.0
Indiana,Brown,2025,37,1.0
Indiana,Carroll,2025,37,1.0
Indiana,Clark,2025,46,1.0
Indiana,Delaware,2025,44,1.0
Indiana,Dubois,2025,39,1.0
Indiana,Elkhart,2025,44,1.0
Indiana,Floyd,2025,46,1.0
Indiana,Greene,2025,41,1.0
Indiana,Hamilton,2025,47,1.0
Indiana,Hendricks,2025,38,1.0
Indiana,Henry,2025,38,1.0
Indiana,Howard,2025,46,1.0
Indiana,Knox,2025,38,1.0
Indiana,LaPorte,2025,44,1.0
Indiana,Lake,2025,53,1.0
Indiana,Madison,2025,42,1.0
Indiana,Marion,2025,53,1.0
Indiana,Monroe,2025,36,1.0
Indiana,Perry,2025,38,1.0
Indiana,Porter,2025,44,1.0
Indiana,Posey,2025,39,1.0
Indiana,Shelby,2025,37,1.0
Indiana,Spencer,2025,42,1.0
Indiana,St. Joseph,2025,44,1.0
Indiana,Tippecanoe,2025,39,1.0
Indiana,Vanderburgh,2025,44,1.0
Indiana,Vigo,2025,45,1.0
Indiana,Wabash,2025,37,1.0
Indiana,Warrick,2025,40,1.0
Indiana,Whitley,2025,38,1.0
Iowa,Black Hawk,2025,48,1.0
Iowa,Bremer,2025,38,1.0
Iowa,Clinton,2025,45,1.0
Iowa,Harrison,2025,39,1.0
Iowa,Johnson,2025,36,1.0
Iowa,Linn,2025,44,1.0
Iowa,Montgomery,2025,43,1.0
Iowa,Muscatine,2025,41,1.0
Iowa,Palo Alto,2025,42,1.0
Iowa,Polk,2025,46,1.0
Iowa,Pottawattamie,2025,41,0.5
Iowa,Scott,2025,45,1.0
Iowa,Van Buren,2025,46,1.0
Iowa,Webster,2025,48,0.6833333333333333
Iowa,Woodbury,2025,39,1.0
Kansas,Chase,2025,22,0.1
Kansas,Douglas,2025,41,0.9
Kansas,Ford,2025,26,1.0
Kansas,Johnson,2025,43,1.0
Kansas,Leavenworth,2025,36,1.0
Kansas,Neosho,2025,43,1.0
Kansas,Sedgwick,2025,48,1.0
Kansas,Shawnee,2025,44,1.0
Kansas,Sherman,2025,25,0.8277777777777777
Kansas,Sumner,2025,43,1.0
Kansas,Trego,2025,41,1.0
Kansas,Wyandotte,2025,44,0.9333333333333333
Kentucky,Bell,2025,43,1.0
Kentucky,Boone,2025,38,0.6777777777777778
Kentucky,Boyd,2025,39,1.0
Kentucky,Bullitt,2025,39,0.6111111111111112
Kentucky,Campbell,2025,39,1.0
Kentucky,Carter,2025,36,1.0
Kentucky,Christian,2025,41,1.0
Kentucky,Daviess,2025,42,1.0
Kentucky,Edmonson,2025,38,1.0
Kentucky,Fayette,2025,40,1.0
Kentucky,Greenup,2025,37,0.6777777777777778
Kentucky,Hancock,2025,44,0.6777777777777778
Kentucky,Hardin,2025,44,0.7055555555555556
Kentucky,Jefferson,2025,48,1.0
Kentucky,Jessamine,2025,41,0.9944444444444445
Kentucky,Livingston,2025,40,0.5888888888888889
Kentucky,McCracken,2025,39,1.0
Kentucky,Morgan,2025,35,1.0
Kentucky,Oldham,2025,39,0.6777777777777778
Kentucky,Perry,2025,38,1.0
Kentucky,Pike,2025,36,1.0
Kentucky,Pulaski,2025,41,1.0
Kentucky,Simpson,2025,39,0.6722222222222223
Kentucky,Warren,2025,37,1.0
Kentucky,Washington,2025,38,1.0
Louisiana,Ascension,2025,33,1.0
Louisiana,Bossier,2025,40,1.0
Louisiana,Caddo,2025,38,1.0
Louisiana,Calcasieu,2025,47,1.0
Louisiana,East Baton Rouge,2025,51,1.0
Louisiana,Iberville,2025,41,1.0
Louisiana,Jefferson,2025,48,1.0
Louisiana,Lafayette,2025,47,1.0
Louisiana,Lafourche,2025,46,1.0
Louisiana,Livingston,2025,45,1.0
Louisiana,Orleans,2025,44,1.0
Louisiana,Ouachita,2025,46,1.0
Louisiana,Pointe Coupee,2025,35,1.0
Louisiana,Rapides,2025,35,0.31666666666666665
Louisiana,St. Bernard,2025,45,1.0
Louisiana,St. James,2025,34,1.0
Louisiana,St. John the Baptist,2025,35,1.0
Louisiana,St. Martin,2025,36,1.0
Louisiana,St. Tammany,2025,38,1.0
Louisiana,Tangipahoa,2025,38,0.34444444444444444
Louisiana,Terrebonne,2025,39,0.3388888888888889
Louisiana,West Baton Rouge,2025,50,1.0
Maine,Androscoggin,2025,35,1.0
Maine,Aroostook,2025,36,1.0
Maine,Cumberland,2025,39,1.0
Maine,Hancock,2025,37,1.0
Maine,Kennebec,2025,36,1.0
Maine,Knox,2025,34,1.0
Maine,Oxford,2025,39,1.0
Maine,Penobscot,2025,34,1.0
Maine,Sagadahoc,2025,35,1.0
Maine,Washington,2025,36,1.0
Maine,York,2025,36,1.0
Maryland,Anne Arundel,2025,40,1.0
Maryland,Baltimore,2025,44,1.0
Maryland,Baltimore (City),2025,44,1.0
Maryland,Calvert,2025,38,1.0
Maryland,Carroll,2025,38,1.0
Maryland,Cecil,2025,41,1.0
Maryland,Charles,2025,38,1.0
Maryland,Dorchester,2025,40,1.0
Maryland,Frederick,2025,41,1.0
Maryland,Garrett,2025,41,1.0
Maryland,Harford,2025,43,1.0
Maryland,Howard,2025,36,1.0
Maryland,Kent,2025,40,1.0
Maryland,Montgomery,2025,41,1.0
Maryland,Prince George's,2025,41,1.0
Maryland,Washington,2025,42,1.0
Massachusetts,Barnstable,2025,38,1.0
Massachusetts,Berkshire,2025,41,1.0
Massachusetts,Bristol,2025,41,1.0
Massachusetts,Dukes,2025,37,1.0
Massachusetts,Essex,2025,42,1.0
Massachusetts,Franklin,2025,40,1.0
Massachusetts,Hampden,2025,41,1.0
Massachusetts,Hampshire,2025,39,1.0
Massachusetts,Middlesex,2025,41,1.0
Massachusetts,Norfolk,2025,43,1.0
Massachusetts,Plymouth,2025,40,1.0
Massachusetts,Suffolk,2025,39,1.0
Massachusetts,Worcester,2025,42,1.0
Michigan,Allegan,2025,43,1.0
Michigan,Bay,2025,38,1.0
Michigan,Benzie,2025,35,1.0
Michigan,Berrien,2025,41,1.0
Michigan,Cass,2025,40,1.0
Michigan,Clinton,2025,39,1.0
Michigan,Genesee,2025,38,1.0
Michigan,Huron,2025,38,1.0
Michigan,Ingham,2025,37,1.0
Michigan,Kalamazoo,2025,40,1.0
Michigan,Kent,2025,46,1.0
Michigan,Keweenaw,2025,7,0.10555555555555556
Michigan,Lenawee,2025,41,1.0
Michigan,Macomb,2025,41,1.0
Michigan,Manistee,2025,34,1.0
Michigan,Marquette,2025,18,0.6833333333333333
Michigan,Mason,2025,36,1.0
Michigan,Missaukee,2025,36,1.0
Michigan,Muskegon,2025,39,1.0
Michigan,Oakland,2025,41,1.0
Michigan,Ottawa,2025,40,1.0
Michigan,Schoolcraft,2025,32,1.0
Michigan,St. Clair,2025,39,1.0
Michigan,Tuscola,2025,37,1.0
Michigan,Washtenaw,2025,41,1.0
Michigan,Wayne,2025,52,1.0
Michigan,Wexford,2025,38,1.0
Minnesota,Anoka,2025,38,0.9944444444444445
Minnesota,Becker,2025,38,0.7277777777777777
Minnesota,Beltrami,2025,37,0.9388888888888889
Minnesota,Blue Earth,2025,38,0.9611111111111111
Minnesota,Carlton,2025,35,0.9388888888888889
Minnesota,Cass,2025,22,0.5
Minnesota,Cook,2025,12,0.4777777777777778
Minnesota,Crow Wing,2025,38,0.9944444444444445
Minnesota,Dakota,2025,9,1.0
Minnesota,Goodhue,2025,41,0.6722222222222223
Minnesota,Hennepin,2025,39,1.0
Minnesota,Lake,2025,34,0.9
Minnesota,Lyon,2025,37,1.0
Minnesota,Mille Lacs,2025,35,0.6611111111111111
Minnesota,Olmsted,2025,36,0.8888888888888888
Minnesota,Ramsey,2025,31,0.6722222222222223
Minnesota,Saint Louis,2025,38,1.0
Minnesota,Scott,2025,36,0.9444444444444444
Minnesota,Stearns,2025,36,0.9555555555555556
Minnesota,Washington,2025,37,0.6722222222222223
Minnesota,Winona,2025,19,0.09444444444444444
Minnesota,Wright,2025,39,0.8722222222222222
Mississippi,Bolivar,2025,44,1.0
Mississippi,DeSoto,2025,44,1.0
Mississippi,Forrest,2025,46,1.0
Mississippi,Hancock,2025,44,1.0
Mississippi,Harrison,2025,45,1.0
Mississippi,Hinds,2025,52,1.0
Mississippi,Jackson,2025,46,1.0
Mississippi,Lauderdale,2025,35,1.0
Mississippi,Lee,2025,38,1.0
Mississippi,Yalobusha,2025,33,1.0
Missouri,Andrew,2025,42,0.49444444444444446
Missouri,Boone,2025,41,0.5111111111111111
Missouri,Buchanan,2025,39,0.8222222222222222
Missouri,Callaway,2025,42,0.5777777777777777
Missouri,Cass,2025,41,0.8111111111111111
Missouri,Cedar,2025,40,0.8222222222222222
Missouri,Clay,2025,42,0.8111111111111111
Missouri,Clinton,2025,43,0.5055555555555555
Missouri,Greene,2025,44,0.8166666666666667
Missouri,Jackson,2025,43,0.8388888888888889
Missouri,Jasper,2025,42,0.8222222222222222
Missouri,Jefferson,2025,40,0.8222222222222222
Missouri,Lincoln,2025,42,0.5055555555555555
Missouri,Monroe,2025,37,0.8222222222222222
Missouri,Perry,2025,40,0.55
Missouri,Saint Charles,2025,43,0.5111111111111111
Missouri,Saint Louis,2025,39,0.8222222222222222
Missouri,Sainte Genevieve,2025,42,0.55
Missouri,St. Louis City,2025,51,0.8388888888888889
Missouri,Stoddard,2025,21,0.06666666666666667
Missouri,Taney,2025,26,0.09444444444444444
Montana,Beaverhead,2025,12,0.9722222222222222
Montana,Custer,2025,39,1.0
Montana,Dawson,2025,14,1.0
Montana,Fergus,2025,44,1.0
Montana,Flathead,2025,40,1.0
Montana,Gallatin,2025,14,1.0
Montana,Glacier,2025,22,0.9277777777777778
Montana,Hill,2025,13,0.8277777777777777
Montana,Lake,2025,4,0.1111111111111111
Montana,Lewis and Clark,2025,45,1.0
Montana,Lincoln,2025,45,0.9777777777777777
Montana,Missoula,2025,38,1.0
Montana,Phillips,2025,18,0.95
Montana,Powell,2025,6,0.09444444444444444
Montana,Ravalli,2025,19,0.9666666666666667
Montana,Richland,2025,39,1.0
Montana,Roosevelt,2025,9,0.09444444444444444
Montana,Rosebud,2025,4,0.1
Montana,Sanders,2025,15,1.0
Montana,Sheridan,2025,13,0.10555555555555556
Montana,Silver Bow,2025,27,1.0
Montana,Teton,2025,14,0.9611111111111111
Montana,Yellowstone,2025,39,1.0
Nebraska,Cass,2025,20,1.0
Nebraska,Douglas,2025,44,1.0
Nebraska,Gage,2025,36,1.0
Nebraska,Hall,2025,37,1.0
Nebraska,Knox,2025,39,1.0
