GEO_ID,County_Area,Total_Population
0500000US06035,"Lassen County, California",30356
0500000US06037,"Los Angeles County, California",9808667
0500000US06039,"Madera County, California",160940
0500000US06041,"Marin County, California",257969
0500000US06043,"Mariposa County, California",17082
0500000US06045,"Mendocino County, California",90244
0500000US06047,"Merced County, California",290201
0500000US06049,"Modoc County, California",8600
0500000US06051,"Mono County, California",13148
0500000US06053,"Monterey County, California",437613
0500000US06055,"Napa County, California",134869
0500000US06057,"Nevada County, California",102481
0500000US06059,"Orange County, California",3165820
0500000US06061,"Placer County, California",419156
0500000US06063,"Plumas County, California",19423
0500000US06065,"Riverside County, California",2478600
0500000US06067,"Sacramento County, California",1594006
0500000US06069,"San Benito County, California",67290
0500000US06071,"San Bernardino County, California",2197104
0500000US06073,"San Diego County, California",3288774
0500000US06075,"San Francisco County, California",830235
0500000US06077,"San Joaquin County, California",797334
0500000US06079,"San Luis Obispo County, California",281555
0500000US06081,"San Mateo County, California",742340
0500000US06083,"Santa Barbara County, California",443701
0500000US06085,"Santa Clara County, California",1902047
0500000US06087,"Santa Cruz County, California",264926
0500000US06089,"Shasta County, California",181436
0500000US06091,"Sierra County, California",2746
0500000US06093,"Siskiyou County, California",43466
0500000US06095,"Solano County, California",451918
0500000US06097,"Sonoma County, California",485040
0500000US06099,"Stanislaus County, California",553990
0500000US06101,"Sutter County, California",98857
0500000US06103,"Tehama County, California",65167
0500000US06105,"Trinity County, California",15860
0500000US06107,"Tulare County, California",478693
0500000US06109,"Tuolumne County, California",54498
0500000US06111,"Ventura County, California",837469
0500000US06113,"Yolo County, California",220564
0500000US06115,"Yuba County, California",84507
0500000US08001,"Adams County, Colorado",530225
0500000US08003,"Alamosa County, Colorado",16581
0500000US08005,"Arapahoe County, Colorado",659844
0500000US08007,"Archuleta County, Colorado",13900
0500000US08009,"Baca County, Colorado",3428
0500000US08011,"Bent County, Colorado",5549
0500000US08013,"Boulder County, Colorado",328961
0500000US08014,"Broomfield County, Colorado",76304
0500000US08015,"Chaffee County, Colorado",20178
0500000US08017,"Cheyenne County, Colorado",1741
0500000US08019,"Clear Creek County, Colorado",9262
0500000US08021,"Conejos County, Colorado",7530
0500000US08023,"Costilla County, Colorado",3607
0500000US08025,"Crowley County, Colorado",5647
0500000US08027,"Custer County, Colorado",5247
0500000US08029,"Delta County, Colorado",31598
0500000US08031,"Denver County, Colorado",718877
0500000US08033,"Dolores County, Colorado",2432
0500000US08035,"Douglas County, Colorado",377150
0500000US08037,"Eagle County, Colorado",55135
0500000US08039,"Elbert County, Colorado",27874
0500000US08041,"El Paso County, Colorado",742999
0500000US08043,"Fremont County, Colorado",49634
0500000US08045,"Garfield County, Colorado",62479
0500000US08047,"Gilpin County, Colorado",5901
0500000US08049,"Grand County, Colorado",15895
0500000US08051,"Gunnison County, Colorado",17241
0500000US08053,"Hinsdale County, Colorado",1005
0500000US08055,"Huerfano County, Colorado",6972
0500000US08057,"Jackson County, Colorado",1372
0500000US08059,"Jefferson County, Colorado",579377
0500000US08061,"Kiowa County, Colorado",1376
0500000US08063,"Kit Carson County, Colorado",7023
0500000US08065,"Lake County, Colorado",7380
0500000US08067,"La Plata County, Colorado",56331
0500000US08069,"Larimer County, Colorado",367368
0500000US08071,"Las Animas County, Colorado",14413
0500000US08073,"Lincoln County, Colorado",5550
0500000US08075,"Logan County, Colorado",20892
0500000US08077,"Mesa County, Colorado",158601
0500000US08079,"Mineral County, Colorado",729
0500000US08081,"Moffat County, Colorado",13207
0500000US08083,"Montezuma County, Colorado",26412
0500000US08085,"Montrose County, Colorado",43807
0500000US08087,"Morgan County, Colorado",29520
0500000US08089,"Otero County, Colorado",18321
0500000US08091,"Ouray County, Colorado",5087
0500000US08093,"Park County, Colorado",17907
0500000US08095,"Phillips County, Colorado",4496
0500000US08097,"Pitkin County, Colorado",16985
0500000US08099,"Prowers County, Colorado",11910
0500000US08101,"Pueblo County, Colorado",169356
0500000US08103,"Rio Blanco County, Colorado",6544
0500000US08105,"Rio Grande County, Colorado",11321
0500000US08107,"Routt County, Colorado",25084
0500000US08109,"Saguache County, Colorado",6580
0500000US08111,"San Juan County, Colorado",724
0500000US08113,"San Miguel County, Colorado",7968
0500000US08115,"Sedgwick County, Colorado",2304
0500000US08117,"Summit County, Colorado",31017
0500000US08119,"Teller County, Colorado",24825
0500000US08121,"Washington County, Colorado",4831
0500000US08123,"Weld County, Colorado",350396
0500000US08125,"Yuma County, Colorado",9979
0500000US09110,"Capitol Planning Region, Connecticut",977290
0500000US09120,"Greater Bridgeport Planning Region, Connecticut",329259
0500000US09130,"Lower Connecticut River Valley Planning Region, Connecticut",175822
0500000US09140,"Naugatuck Valley Planning Region, Connecticut",454969
0500000US09150,"Northeastern Connecticut Planning Region, Connecticut",96312
0500000US09160,"Northwest Hills Planning Region, Connecticut",113216
0500000US09170,"South Central Connecticut Planning Region, Connecticut",570598
0500000US09180,"Southeastern Connecticut Planning Region, Connecticut",279971
0500000US09190,"Western Connecticut Planning Region, Connecticut",627071
0500000US10001,"Kent County, Delaware",187604
0500000US10003,"New Castle County, Delaware",577961
0500000US10005,"Sussex County, Delaware",255626
0500000US11001,"District of Columbia, District of Columbia",681294
0500000US12001,"Alachua County, Florida",285492
0500000US12003,"Baker County, Florida",28430
0500000US12005,"Bay County, Florida",186393
0500000US12007,"Bradford County, Florida",27885
0500000US12009,"Brevard County, Florida",632780
0500000US12011,"Broward County, Florida",1977129
0500000US12013,"Calhoun County, Florida",13492
0500000US12015,"Charlotte County, Florida",201064
0500000US12017,"Citrus County, Florida",162472
0500000US12019,"Clay County, Florida",227584
0500000US12021,"Collier County, Florida",398291
0500000US12023,"Columbia County, Florida",71789
0500000US12027,"DeSoto County, Florida",35386
0500000US12029,"Dixie County, Florida",17058
0500000US12031,"Duval County, Florida",1023153
0500000US12033,"Escambia County, Florida",325923
0500000US12035,"Flagler County, Florida",126528
0500000US12037,"Franklin County, Florida",12553
0500000US12039,"Gadsden County, Florida",43710
0500000US12041,"Gilchrist County, Florida",19040
0500000US12043,"Glades County, Florida",12563
0500000US12045,"Gulf County, Florida",15131
0500000US12047,"Hamilton County, Florida",13616
0500000US12049,"Hardee County, Florida",25675
0500000US12051,"Hendry County, Florida",42382
0500000US12053,"Hernando County, Florida",207018
0500000US12055,"Highlands County, Florida",105702
0500000US12057,"Hillsborough County, Florida",1522748
0500000US12059,"Holmes County, Florida",19513
0500000US12061,"Indian River County, Florida",166936
0500000US12063,"Jackson County, Florida",48250
0500000US12065,"Jefferson County, Florida",15091
0500000US12067,"Lafayette County, Florida",8161
0500000US12069,"Lake County, Florida",412924
0500000US12071,"Lee County, Florida",817666
0500000US12073,"Leon County, Florida",297542
0500000US12075,"Levy County, Florida",45391
0500000US12077,"Liberty County, Florida",7687
0500000US12079,"Madison County, Florida",18089
0500000US12081,"Manatee County, Florida",429792
0500000US12083,"Marion County, Florida",400078
0500000US12085,"Martin County, Florida",162176
0500000US12086,"Miami-Dade County, Florida",2738356
0500000US12087,"Monroe County, Florida",81860
0500000US12089,"Nassau County, Florida",97859
0500000US12091,"Okaloosa County, Florida",216599
0500000US12093,"Okeechobee County, Florida",40816
0500000US12095,"Orange County, Florida",1471937
0500000US12097,"Osceola County, Florida",427415
0500000US12099,"Palm Beach County, Florida",1533806
0500000US12101,"Pasco County, Florida",611444
0500000US12103,"Pinellas County, Florida",963481
0500000US12105,"Polk County, Florida",790694
0500000US12107,"Putnam County, Florida",75164
0500000US12109,"St. Johns County, Florida",306934
0500000US12111,"St. Lucie County, Florida",360500
0500000US12113,"Santa Rosa County, Florida",198472
0500000US12115,"Sarasota County, Florida",459547
0500000US12117,"Seminole County, Florida",481470
0500000US12119,"Sumter County, Florida",143408
0500000US12121,"Suwannee County, Florida",45342
0500000US12123,"Taylor County, Florida",21503
0500000US12125,"Union County, Florida",15701
0500000US12127,"Volusia County, Florida",579622
0500000US12129,"Wakulla County, Florida",35387
0500000US12131,"Walton County, Florida",82948
0500000US12133,"Washington County, Florida",25529
0500000US13001,"Appling County, Georgia",18493
0500000US13003,"Atkinson County, Georgia",8337
0500000US13005,"Bacon County, Georgia",11109
0500000US13007,"Baker County, Georgia",2790
0500000US13009,"Baldwin County, Georgia",43642
0500000US13011,"Banks County, Georgia",19264
0500000US13013,"Barrow County, Georgia",89886
0500000US13015,"Bartow County, Georgia",113113
0500000US13017,"Ben Hill County, Georgia",17089
0500000US13019,"Berrien County, Georgia",18352
0500000US13021,"Bibb County, Georgia",156578
0500000US13023,"Bleckley County, Georgia",12430
0500000US13025,"Brantley County, Georgia",18315
0500000US13027,"Brooks County, Georgia",16293
0500000US13029,"Bryan County, Georgia",48263
0500000US13031,"Bulloch County, Georgia",82683
0500000US13033,"Burke County, Georgia",24470
0500000US13035,"Butts County, Georgia",26496
0500000US13037,"Calhoun County, Georgia",5498
0500000US13039,"Camden County, Georgia",56970
0500000US13043,"Candler County, Georgia",11043
0500000US13045,"Carroll County, Georgia",124569
0500000US13047,"Catoosa County, Georgia",68634
0500000US13049,"Charlton County, Georgia",12818
0500000US13051,"Chatham County, Georgia",300879
0500000US13053,"Chattahoochee County, Georgia",8887
0500000US13055,"Chattooga County, Georgia",25036
0500000US13057,"Cherokee County, Georgia",281032
0500000US13059,"Clarke County, Georgia",129609
0500000US13061,"Clay County, Georgia",2850
0500000US13063,"Clayton County, Georgia",298924
0500000US13065,"Clinch County, Georgia",6759
0500000US13067,"Cobb County, Georgia",775208
0500000US13069,"Coffee County, Georgia",43347
0500000US13071,"Colquitt County, Georgia",46224
0500000US13073,"Columbia County, Georgia",162434
0500000US13075,"Cook County, Georgia",17532
0500000US13077,"Coweta County, Georgia",152852
0500000US13079,"Crawford County, Georgia",12225
0500000US13081,"Crisp County, Georgia",19790
0500000US13083,"Dade County, Georgia",16165
0500000US13085,"Dawson County, Georgia",30242
0500000US13087,"Decatur County, Georgia",29195
0500000US13089,"DeKalb County, Georgia",765351
0500000US13091,"Dodge County, Georgia",19805
0500000US13093,"Dooly County, Georgia",10984
0500000US13095,"Dougherty County, Georgia",83091
0500000US13097,"Douglas County, Georgia",147888
0500000US13099,"Early County, Georgia",10603
0500000US13101,"Echols County, Georgia",3709
0500000US13103,"Effingham County, Georgia",69143
0500000US13105,"Elbert County, Georgia",19849
0500000US13107,"Emanuel County, Georgia",23026
0500000US13109,"Evans County, Georgia",10757
0500000US13111,"Fannin County, Georgia",25742
0500000US13113,"Fayette County, Georgia",122244
0500000US13115,"Floyd County, Georgia",99693
0500000US13117,"Forsyth County, Georgia",267287
0500000US13119,"Franklin County, Georgia",24234
0500000US13121,"Fulton County, Georgia",1076561
0500000US13123,"Gilmer County, Georgia",32426
0500000US13125,"Glascock County, Georgia",2932
0500000US13127,"Glynn County, Georgia",85447
0500000US13129,"Gordon County, Georgia",59100
0500000US13131,"Grady County, Georgia",26108
0500000US13133,"Greene County, Georgia",20109
0500000US13135,"Gwinnett County, Georgia",979864
0500000US13137,"Habersham County, Georgia",47793
0500000US13139,"Hall County, Georgia",212705
0500000US13141,"Hancock County, Georgia",8650
0500000US13143,"Haralson County, Georgia",31285
0500000US13145,"Harris County, Georgia",36086
0500000US13147,"Hart County, Georgia",26939
0500000US13149,"Heard County, Georgia",11773
0500000US13151,"Henry County, Georgia",249960
0500000US13153,"Houston County, Georgia",169649
0500000US13155,"Irwin County, Georgia",9285
0500000US13157,"Jackson County, Georgia",84757
0500000US13159,"Jasper County, Georgia",15929
0500000US13161,"Jeff Davis County, Georgia",14924
0500000US13163,"Jefferson County, Georgia",15341
0500000US13165,"Jenkins County, Georgia",8711
0500000US13167,"Johnson County, Georgia",9190
0500000US13169,"Jones County, Georgia",28673
0500000US13171,"Lamar County, Georgia",19571
0500000US13173,"Lanier County, Georgia",10221
0500000US13175,"Laurens County, Georgia",49798
0500000US13177,"Lee County, Georgia",33626
0500000US13179,"Liberty County, Georgia",67397
0500000US13181,"Lincoln County, Georgia",7854
0500000US13183,"Long County, Georgia",18374
0500000US13185,"Lowndes County, Georgia",119965
0500000US13187,"Lumpkin County, Georgia",34505
0500000US13189,"McDuffie County, Georgia",21718
0500000US13191,"McIntosh County, Georgia",11312
0500000US13193,"Macon County, Georgia",11864
0500000US13195,"Madison County, Georgia",31528
0500000US13197,"Marion County, Georgia",7509
0500000US13199,"Meriwether County, Georgia",20929
0500000US13201,"Miller County, Georgia",5850
0500000US13205,"Mitchell County, Georgia",21058
0500000US13207,"Monroe County, Georgia",29664
0500000US13209,"Montgomery County, Georgia",8640
0500000US13211,"Morgan County, Georgia",21078
0500000US13213,"Murray County, Georgia",40562
0500000US13215,"Muscogee County, Georgia",203711
0500000US13217,"Newton County, Georgia",118152
0500000US13219,"Oconee County, Georgia",43551
0500000US13221,"Oglethorpe County, Georgia",15509
0500000US13223,"Paulding County, Georgia",178909
0500000US13225,"Peach County, Georgia",28560
0500000US13227,"Pickens County, Georgia",34951
0500000US13229,"Pierce County, Georgia",20202
0500000US13231,"Pike County, Georgia",19903
0500000US13233,"Polk County, Georgia",43785
0500000US13235,"Pulaski County, Georgia",9939
0500000US13237,"Putnam County, Georgia",22855
0500000US13239,"Quitman County, Georgia",2264
0500000US13241,"Rabun County, Georgia",17312
0500000US13243,"Randolph County, Georgia",6196
0500000US13245,"Richmond County, Georgia",206069
0500000US13247,"Rockdale County, Georgia",95281
