State,County,Year,median_aqi,sample_weight,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races,Median_Household_Income
Georgia,Richmond,2025,49,1.0,5.8,31.4,55.7,0.1,1.6,4.7,55637.0
Georgia,Rockdale,2025,36,1.0,10.9,24.0,57.5,0.0,1.6,5.3,77247.0
Georgia,Walker,2025,46,1.0,2.9,89.3,3.0,0.3,0.4,4.1,59469.0
Georgia,Washington,2025,47,1.0,2.2,41.7,53.1,0.0,0.5,2.3,46023.0
Hawaii,Hawaii,2025,30,1.0,11.7,29.9,0.8,0.2,20.2,24.9,78639.0
Hawaii,Honolulu,2025,31,1.0,9.4,17.2,2.2,0.1,41.6,20.1,106195.0
Hawaii,Maui,2025,22,1.0,10.6,29.0,0.8,0.1,27.7,21.7,97161.0
Idaho,Ada,2025,39,1.0,9.8,80.9,1.3,0.3,2.7,4.3,91502.0
Idaho,Bannock,2025,31,1.0,9.9,80.3,0.8,2.1,1.5,4.1,66499.0
Idaho,Benewah,2025,37,1.0,3.8,83.6,0.5,7.2,0.0,4.6,59794.0
Idaho,Blaine,2025,22,0.9222222222222224,21.8,71.9,0.3,0.1,0.6,4.8,92566.0
Idaho,Boise,2025,43,1.0,5.1,83.5,0.2,1.0,1.5,6.5,78774.0
Idaho,Bonner,2025,41,1.0,4.0,89.0,0.3,0.4,0.5,4.7,66979.0
Idaho,Bonneville,2025,19,0.9722222222222222,14.5,80.2,0.3,0.4,0.9,3.3,79068.0
Idaho,Butte,2025,44,1.0,6.4,88.7,0.0,0.0,0.0,4.5,53015.0
Idaho,Canyon,2025,30,0.9944444444444444,26.0,67.1,0.7,0.3,0.8,4.0,76488.0
Idaho,Custer,2025,3,0.1111111111111111,4.5,88.4,0.3,0.4,3.1,3.0,67574.0
Idaho,Franklin,2025,22,0.9277777777777778,7.4,89.4,0.1,0.1,0.1,2.4,71950.0
Idaho,Idaho,2025,39,1.0,4.0,89.1,0.1,1.8,0.5,3.8,66325.0
Idaho,Kootenai,2025,24,1.0,5.7,85.6,0.3,0.6,0.7,6.2,81861.0
