State,County,Year,median_aqi,sample_weight,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races,Median_Household_Income,Total_Population,Land_Area_SqMi,population_density,Region,Division,log_population_density,log_median_income,total_minority_pct,Division_East North Central,Division_East South Central,Division_Middle Atlantic,Division_Mountain,Division_New England,Division_Pacific,Division_South Atlantic,Division_West North Central,Division_West South Central,interaction_income_Division_East North Central,interaction_density_Division_East North Central,interaction_income_Division_East South Central,interaction_density_Division_East South Central,interaction_income_Division_Middle Atlantic,interaction_density_Division_Middle Atlantic,interaction_income_Division_Mountain,interaction_density_Division_Mountain,interaction_income_Division_New England,interaction_density_Division_New England,interaction_income_Division_Pacific,interaction_density_Division_Pacific,interaction_income_Division_South Atlantic,interaction_density_Division_South Atlantic,interaction_income_Division_West North Central,interaction_density_Division_West North Central,interaction_income_Division_West South Central,interaction_density_Division_West South Central
Arizona,Coconino,2025,48,1.0,15.5,52.2,1.4,24.2,1.7,4.5,72966.0,144508,18616.354,7.76242222295515,West,Mountain,2.1704723761963685,11.197762563128435,16.9,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,11.197762563128435,2.1704723761963685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,Gila,2025,50,1.0,18.0,61.4,0.5,9.2,0.8,9.8,61986.0,53795,4757.578,11.30722396984348,West,Mountain,2.51018640459806,11.034679964622491,18.5,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,11.034679964622491,2.51018640459806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,La Paz,2025,47,1.0,25.6,57.3,1.4,10.9,1.4,3.3,49478.0,16664,4496.579,3.7059284402653665,West,Mountain,1.5488230841260993,10.809303616116262,27.0,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,10.809303616116262,1.5488230841260993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,Maricopa,2025,71,1.0,31.2,52.5,5.4,1.3,4.5,4.5,89300.0,4559748,9202.016,495.5161999283635,West,Mountain,6.207616111207446,11.399767965010177,36.6,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,11.399767965010177,6.207616111207446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,Mohave,2025,19,1.0,17.1,74.9,1.0,1.3,1.1,4.1,57684.0,220517,13332.117,16.540283887397628,West,Mountain,2.8645001719554553,10.96275245336139,18.1,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,10.96275245336139,2.8645001719554553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,Navajo,2025,12,1.0,10.9,42.7,1.0,41.0,0.4,3.6,54606.0,108415,9949.492,10.896536225166068,West,Mountain,2.4762472842319094,10.907917358643626,11.9,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,10.907917358643626,2.4762472842319094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,Pima,2025,55,1.0,36.4,50.5,3.3,1.9,2.9,4.3,70315.0,1060490,9188.683,115.41262224412355,West,Mountain,4.757140967941704,11.16075464791978,39.699999999999996,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,11.16075464791978,4.757140967941704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,Pinal,2025,66,1.0,29.8,54.9,5.1,3.4,1.6,4.3,80266.0,469006,5366.671,87.39235179499543,West,Mountain,4.481785447744526,11.293113856563991,34.9,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,11.293113856563991,4.481785447744526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,Santa Cruz,2025,45,1.0,82.5,15.3,0.1,0.2,0.3,1.2,55217.0,48926,1236.26,39.57581738469254,West,Mountain,3.703172258230218,10.919044266066912,82.6,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,10.919044266066912,3.703172258230218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,Yavapai,2025,49,1.0,15.4,77.4,0.5,1.0,1.1,3.9,69613.0,245480,8122.932,30.220614920819234,West,Mountain,3.44107861126805,11.150720975519965,15.9,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,11.150720975519965,3.44107861126805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,Yuma,2025,49,1.0,64.9,29.0,1.5,0.8,1.0,2.3,62876.0,211741,5513.82,38.401870209763835,West,Mountain,3.6738132824302427,11.04893571604127,66.4,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,11.04893571604127,3.6738132824302427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
